,degs,clos,betw,eigen
entrez gene/locuslink:850559,0.0288,0.2806,0.0001,0.0064
entrez gene/locuslink:851822,0.0022,0.2168,0.0,0.0001
entrez gene/locuslink:852007,0.0243,0.2768,0.001,0.0034
entrez gene/locuslink:853183,0.0199,0.3115,0.0005,0.0093
entrez gene/locuslink:856778,0.0088,0.2613,0.0,0.0008
entrez gene/locuslink:855112,0.0044,0.2678,0.0,0.0019
entrez gene/locuslink:852238,0.0177,0.2937,0.0001,0.0048
entrez gene/locuslink:856742,0.0332,0.2811,0.0005,0.0028
entrez gene/locuslink:851201,0.1681,0.3269,0.0061,0.0237
entrez gene/locuslink:851059,0.0354,0.3095,0.001,0.0081
entrez gene/locuslink:855952,0.0265,0.2833,0.0002,0.003
entrez gene/locuslink:856529,0.0133,0.308,0.0003,0.0063
entrez gene/locuslink:856625,0.0022,0.238,0.0,0.0002
entrez gene/locuslink:852938,0.031,0.2843,0.0006,0.0023
entrez gene/locuslink:856035,0.0885,0.3161,0.0018,0.0101
entrez gene/locuslink:853167,0.073,0.3279,0.0018,0.0191
entrez gene/locuslink:852059,0.0841,0.309,0.0025,0.0098
entrez gene/locuslink:854557,0.0022,0.2416,0.0,0.0002
entrez gene/locuslink:853318,0.1018,0.3186,0.0035,0.0096
entrez gene/locuslink:852755,0.0597,0.3139,0.0016,0.0111
entrez gene/locuslink:854879,0.0155,0.289,0.0001,0.01
entrez gene/locuslink:855006,0.0044,0.2439,0.0,0.0003
entrez gene/locuslink:852710,0.0177,0.2831,0.0002,0.0018
entrez gene/locuslink:856870,0.1128,0.3305,0.0045,0.0209
entrez gene/locuslink:851488,0.0752,0.3493,0.0013,0.0505
entrez gene/locuslink:855488,0.0155,0.2929,0.0001,0.004
entrez gene/locuslink:852334,0.0066,0.2582,0.0,0.001
entrez gene/locuslink:854822,0.0531,0.3081,0.0003,0.0181
entrez gene/locuslink:851776,0.0177,0.297,0.0001,0.0075
entrez gene/locuslink:854507,0.0509,0.3175,0.0002,0.0282
entrez gene/locuslink:851708,0.0288,0.3053,0.0003,0.0099
entrez gene/locuslink:856500,0.0022,0.2484,0.0,0.0005
entrez gene/locuslink:854493,0.0066,0.276,0.0,0.003
entrez gene/locuslink:850317,0.0133,0.291,0.0011,0.0033
entrez gene/locuslink:854874,0.0265,0.2938,0.0005,0.0027
entrez gene/locuslink:852328,0.0022,0.2254,0.0,0.0001
entrez gene/locuslink:854095,0.0177,0.3048,0.0002,0.0075
entrez gene/locuslink:850529,0.0133,0.2693,0.0001,0.0024
entrez gene/locuslink:852809,0.0354,0.3017,0.0004,0.0047
entrez gene/locuslink:856048,0.0111,0.2756,0.0002,0.0016
entrez gene/locuslink:854701,0.0575,0.3033,0.0006,0.0077
entrez gene/locuslink:851686,0.0177,0.2764,0.0003,0.0029
entrez gene/locuslink:853149,0.0155,0.302,0.0002,0.0068
